Date,Name,Year,Letterboxd URI,Rating
2019-12-05,Parasite,2019,https://boxd.it/hTha,5
2019-12-05,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,4.5
2019-12-05,Joker,2019,https://boxd.it/h4cS,3
2019-12-05,Moonlight,2016,https://boxd.it/d6bE,5
2019-12-05,Arrival,2016,https://boxd.it/aNGk,4.5
2019-12-05,Inception,2010,https://boxd.it/1skk,4.5
2019-12-05,Inside Out,2015,https://boxd.it/4KHC,4
2019-12-05,Paddington 2,2017,https://boxd.it/bCF8,4.5
2019-12-05,Hell or High Water,2016,https://boxd.it/bfGM,4
2019-12-05,Creed,2015,https://boxd.it/a2qk,4
2019-12-05,The Empire Strikes Back,1980,https://boxd.it/27Vw,5
2019-12-05,Star Wars,1977,https://boxd.it/72s,4.5
2019-12-05,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3.5
2019-12-05,Return of the Jedi,1983,https://boxd.it/27Vm,3.5
2019-12-05,Star Wars: The Clone Wars,2008,https://boxd.it/1Sly,2.5
2019-12-05,The Godfather,1972,https://boxd.it/2aNK,5
2019-12-05,Harakiri,1962,https://boxd.it/1NTU,5
2019-12-05,Seven Samurai,1954,https://boxd.it/2axi,5
2019-12-05,Spirited Away,2001,https://boxd.it/2b4m,4.5
2019-12-05,The Shawshank Redemption,1994,https://boxd.it/2aHi,4.5
2019-12-05,The Dark Knight,2008,https://boxd.it/2b0k,4.5
2019-12-05,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,5
2019-12-05,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
2019-12-05,Apocalypse Now,1979,https://boxd.it/6ZS,5
2019-12-05,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,4.5
2019-12-05,City of God,2002,https://boxd.it/2a2a,4.5
2019-12-05,Oldboy,2003,https://boxd.it/29R2,4
2019-12-05,Fight Club,1999,https://boxd.it/2a9q,4
2019-12-05,Se7en,1995,https://boxd.it/29zs,4
2019-12-05,Yojimbo,1961,https://boxd.it/1SRY,4.5
2019-12-05,Vertigo,1958,https://boxd.it/2apI,4
2019-12-05,Toy Story,1995,https://boxd.it/29qA,4
2019-12-05,Raging Bull,1980,https://boxd.it/28yI,4.5
2019-12-05,Once Upon a Time in America,1984,https://boxd.it/2aCs,4.5
2019-12-05,Sicario,2015,https://boxd.it/8i7u,4
2019-12-05,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2019-12-05,Django Unchained,2012,https://boxd.it/2cCk,3.5
2019-12-05,Jackie Brown,1997,https://boxd.it/2aVO,4
2019-12-05,Reservoir Dogs,1992,https://boxd.it/2agc,4.5
2019-12-05,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4
2019-12-05,Death Proof,2007,https://boxd.it/27GG,3
2019-12-05,The Birds,1963,https://boxd.it/2a6m,3.5
2019-12-05,Night of the Living Dead,1968,https://boxd.it/1WwA,4
2019-12-05,A Fistful of Dollars,1964,https://boxd.it/2auo,4
2019-12-05,Dawn of the Dead,1978,https://boxd.it/29gU,4
2019-12-05,Die Hard,1988,https://boxd.it/2a7u,4
2019-12-05,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,3.5
2019-12-05,Scarface,1983,https://boxd.it/2b7g,4
2019-12-05,Back to the Future Part II,1989,https://boxd.it/2aYI,4
2019-12-05,Beetlejuice,1988,https://boxd.it/24QI,3.5
2019-12-05,Grave of the Fireflies,1988,https://boxd.it/1RUM,4
2019-12-05,RoboCop,1987,https://boxd.it/22Wu,3.5
2019-12-05,Rain Man,1988,https://boxd.it/2avw,3.5
2019-12-05,Lethal Weapon,1987,https://boxd.it/29e0,3.5
2019-12-05,Child's Play,1988,https://boxd.it/1VTo,3
2019-12-05,The Karate Kid,1984,https://boxd.it/27Wk,3
2019-12-05,Re-Animator,1985,https://boxd.it/28hM,3.5
2019-12-05,Twin Peaks,1990,https://boxd.it/g8pk,4.5
2019-12-05,Beverly Hills Cop,1984,https://boxd.it/2baE,4
2019-12-05,Twin Peaks: The Return,2017,https://boxd.it/hN9O,5
2019-12-05,Big Little Lies,2017,https://boxd.it/fYde,4
