Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,genres
2020-11-16,John Mulaney: Kid Gorgeous at Radio City,2018.0,https://boxd.it/1sFoFp,,,netflix,2020-11-15,['Comedy']
2020-11-16,Prisoners,2013.0,https://boxd.it/1sFfDJ,4.5,,hulu,2020-11-15,"['Drama', 'Thriller', 'Crime']"
2020-11-15,Eternal Sunshine of the Spotless Mind,2004.0,https://boxd.it/1szH7T,5.0,,netflix,2020-11-14,"['Science Fiction', 'Drama', 'Romance']"
2020-11-15,Rashomon,1950.0,https://boxd.it/1su2oz,5.0,,hbomax,2020-11-14,"['Drama', 'Romance']"
2020-11-14,Vertigo,1958.0,https://boxd.it/1ss6bv,4.0,Yes,,2020-11-13,"['Mystery', 'Romance', 'Thriller']"
2020-11-13,The Long Goodbye,1973.0,https://boxd.it/1smwuB,4.5,,,2020-11-12,"['Crime', 'Mystery', 'Thriller', 'Comedy']"
2020-11-13,Basic Instinct,1992.0,https://boxd.it/1slRhL,3.5,,netflix,2020-11-12,"['Thriller', 'Mystery']"
2020-11-13,LA 92,2017.0,https://boxd.it/1slsPN,4.0,,netflix,2020-11-12,"['Documentary', 'History']"
2020-11-12,The Forty-Year-Old Version,2020.0,https://boxd.it/1sh6qN,3.5,,netflix,2020-11-11,"['Comedy', 'Drama', 'Music']"
2020-11-12,20th Century Women,2016.0,https://boxd.it/1se8Uf,4.5,,netflix,2020-11-11,['Drama']
2020-11-11,The Impossible,2012.0,https://boxd.it/1sboPz,3.0,,netflix,2020-11-11,"['Adventure', 'Drama', 'Thriller']"
2020-11-11,Belly,1998.0,https://boxd.it/1satQP,3.5,,hbomax,2020-11-10,"['Crime', 'Drama']"
2020-11-11,The Last Black Man in San Francisco,2019.0,https://boxd.it/1s8Udh,4.5,,amazonprime,2020-11-10,['Drama']
2020-11-09,Days of Heaven,1978.0,https://boxd.it/1rYem7,4.0,,amazonprime,2020-11-08,"['Drama', 'Romance']"
2020-11-09,The Act of Killing,2012.0,https://boxd.it/1rZ2oH,4.0,,amazonprime,2020-11-08,['Documentary']
2020-11-09,One Last Time,2020.0,https://boxd.it/1rYFpH,2.5,,,2020-11-08,"['Thriller', 'Mystery', 'Horror']"
2020-11-08,King of New York,1990.0,https://boxd.it/1rSDwp,4.5,,amazonprime,2020-11-07,"['Thriller', 'Crime']"
2020-11-08,Being Elmo: A Puppeteer's Journey,2011.0,https://boxd.it/1rO9kv,3.0,,netflix,2020-11-07,['Documentary']
2020-11-07,The Machinist,2004.0,https://boxd.it/1rMi6N,3.5,,,2020-11-07,"['Thriller', 'Drama']"
